test_type,benchmark,throughput,file
assincrono_optimal,arf,99.89,bench_test_bench_assincrono_optimal_arf_006
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_009
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_001
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_000
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_008
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_004
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_005
assincrono_optimal,arf,79.93,bench_test_bench_assincrono_optimal_arf_002
assincrono_optimal,arf,66.62,bench_test_bench_assincrono_optimal_arf_003
assincrono_optimal,arf,66.62,bench_test_bench_assincrono_optimal_arf_007
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_005
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_003
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_007
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_000
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_002
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_009
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_004
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_006
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_001
assincrono_optimal,atax,99.94,bench_test_bench_assincrono_optimal_atax_008
assincrono_optimal,collapse_pyr,79.93,bench_test_bench_assincrono_optimal_collapse_pyr_000
assincrono_optimal,collapse_pyr,79.92,bench_test_bench_assincrono_optimal_collapse_pyr_009
assincrono_optimal,collapse_pyr,77.71,bench_test_bench_assincrono_optimal_collapse_pyr_004
assincrono_optimal,collapse_pyr,77.7,bench_test_bench_assincrono_optimal_collapse_pyr_002
assincrono_optimal,collapse_pyr,74.94,bench_test_bench_assincrono_optimal_collapse_pyr_003
assincrono_optimal,collapse_pyr,74.94,bench_test_bench_assincrono_optimal_collapse_pyr_006
assincrono_optimal,collapse_pyr,72.67,bench_test_bench_assincrono_optimal_collapse_pyr_005
assincrono_optimal,collapse_pyr,72.66,bench_test_bench_assincrono_optimal_collapse_pyr_007
assincrono_optimal,collapse_pyr,66.61,bench_test_bench_assincrono_optimal_collapse_pyr_008
assincrono_optimal,collapse_pyr,59.96,bench_test_bench_assincrono_optimal_collapse_pyr_001
assincrono_optimal,conv3,99.95,bench_test_bench_assincrono_optimal_conv3_003
assincrono_optimal,conv3,83.29,bench_test_bench_assincrono_optimal_conv3_004
assincrono_optimal,conv3,83.29,bench_test_bench_assincrono_optimal_conv3_000
assincrono_optimal,conv3,83.29,bench_test_bench_assincrono_optimal_conv3_001
assincrono_optimal,conv3,83.28,bench_test_bench_assincrono_optimal_conv3_008
assincrono_optimal,conv3,83.28,bench_test_bench_assincrono_optimal_conv3_009
assincrono_optimal,conv3,74.98,bench_test_bench_assincrono_optimal_conv3_007
assincrono_optimal,conv3,74.98,bench_test_bench_assincrono_optimal_conv3_005
assincrono_optimal,conv3,74.98,bench_test_bench_assincrono_optimal_conv3_006
assincrono_optimal,conv3,74.98,bench_test_bench_assincrono_optimal_conv3_002
assincrono_optimal,cosine1,74.97,bench_test_bench_assincrono_optimal_cosine1_006
assincrono_optimal,cosine1,66.65,bench_test_bench_assincrono_optimal_cosine1_002
assincrono_optimal,cosine1,66.64,bench_test_bench_assincrono_optimal_cosine1_008
assincrono_optimal,cosine1,66.63,bench_test_bench_assincrono_optimal_cosine1_009
assincrono_optimal,cosine1,66.63,bench_test_bench_assincrono_optimal_cosine1_000
assincrono_optimal,cosine1,66.63,bench_test_bench_assincrono_optimal_cosine1_007
assincrono_optimal,cosine1,66.63,bench_test_bench_assincrono_optimal_cosine1_003
assincrono_optimal,cosine1,66.63,bench_test_bench_assincrono_optimal_cosine1_005
assincrono_optimal,cosine1,66.62,bench_test_bench_assincrono_optimal_cosine1_004
assincrono_optimal,cosine1,66.62,bench_test_bench_assincrono_optimal_cosine1_001
assincrono_optimal,ewf,79.9,bench_test_bench_assincrono_optimal_ewf_007
assincrono_optimal,ewf,79.88,bench_test_bench_assincrono_optimal_ewf_004
assincrono_optimal,ewf,74.92,bench_test_bench_assincrono_optimal_ewf_003
assincrono_optimal,ewf,74.92,bench_test_bench_assincrono_optimal_ewf_000
assincrono_optimal,ewf,74.9,bench_test_bench_assincrono_optimal_ewf_001
assincrono_optimal,ewf,66.6,bench_test_bench_assincrono_optimal_ewf_002
assincrono_optimal,ewf,66.59,bench_test_bench_assincrono_optimal_ewf_006
assincrono_optimal,ewf,66.59,bench_test_bench_assincrono_optimal_ewf_009
assincrono_optimal,ewf,66.58,bench_test_bench_assincrono_optimal_ewf_008
assincrono_optimal,ewf,59.93,bench_test_bench_assincrono_optimal_ewf_005
assincrono_optimal,h2v2_smooth,99.82,bench_test_bench_assincrono_optimal_h2v2_smooth_007
assincrono_optimal,h2v2_smooth,99.82,bench_test_bench_assincrono_optimal_h2v2_smooth_006
